fact_id,dimension_id,value,amount,created_date
FACT_000001,10,411,1755.56,2025-02-09
FACT_000002,5,654,4178.7,2025-05-17
FACT_000003,4,792,2389.89,2025-07-15
FACT_000004,73,391,3528.6,2025-05-29
FACT_000005,10,226,1279.65,2025-02-02
FACT_000006,5,492,297.24,2025-03-04
FACT_000007,7,619,3253.76,2025-08-13
FACT_000008,3,154,3483.78,2025-01-05
FACT_000009,939,312,3536.17,2025-02-26
FACT_000010,10,11,871.41,2024-09-12
FACT_000011,897,677,2725.52,2025-05-01
FACT_000012,4,888,3047.55,2025-01-08
FACT_000013,3,762,1252.85,2025-08-10
FACT_000014,2,299,4542.19,2024-10-18
FACT_000015,6,641,2491.67,2024-08-31
FACT_000016,1,43,4349.89,2024-09-03
FACT_000017,2,697,1554.85,2024-12-21
FACT_000018,1,366,1802.49,2024-12-06
FACT_000019,484,220,4565.14,2024-11-16
FACT_000020,1,989,3622.41,2025-02-24
FACT_000021,477,979,2239.33,2024-08-30
FACT_000022,3,853,987.04,2024-09-08
FACT_000023,634,992,1058.61,2024-12-25
FACT_000024,765,831,582.26,2025-04-01
FACT_000025,9,921,2237.02,2025-06-23
FACT_000026,3,836,3881.34,2025-06-17
FACT_000027,10,692,2055.13,2025-05-01
FACT_000028,4,365,627.43,2024-12-12
FACT_000029,727,160,1933.53,2024-10-06
FACT_000030,2,188,3294.37,2024-11-29
FACT_000031,3,537,3087.51,2025-01-04
FACT_000032,4,638,64.4,2025-04-26
FACT_000033,9,818,4610.16,2025-06-15
FACT_000034,711,52,3756.14,2025-07-29
FACT_000035,729,691,525.69,2024-11-06
FACT_000036,2,518,3755.65,2025-04-15
FACT_000037,9,762,3424.73,2024-09-19
FACT_000038,9,276,1828.44,2024-10-23
FACT_000039,757,222,3766.82,2024-09-26
FACT_000040,8,272,1040.98,2024-10-31
FACT_000041,1,120,764.33,2024-11-09
FACT_000042,64,792,2522.42,2024-11-21
FACT_000043,811,121,4757.27,2025-08-05
FACT_000044,2,578,2375.18,2025-02-08
FACT_000045,5,645,2860.7,2025-08-12
FACT_000046,8,846,721.16,2025-02-07
