dimension_id,dimension_name,category,status
1,dimension_1,category_1,inactive
2,dimension_2,category_2,inactive
3,dimension_3,category_3,active
4,dimension_4,category_4,inactive
5,dimension_5,category_5,inactive
6,dimension_6,category_6,active
7,dimension_7,category_7,active
8,dimension_8,category_8,active
9,dimension_9,category_9,inactive
10,dimension_10,category_0,active
11,dimension_11,category_1,active
12,dimension_12,category_2,inactive
13,dimension_13,category_3,inactive
14,dimension_14,category_4,active
15,dimension_15,category_5,inactive
16,dimension_16,category_6,active
17,dimension_17,category_7,inactive
18,dimension_18,category_8,active
19,dimension_19,category_9,inactive
20,dimension_20,category_0,active
21,dimension_21,category_1,inactive
22,dimension_22,category_2,active
23,dimension_23,category_3,active
24,dimension_24,category_4,inactive
25,dimension_25,category_5,active
26,dimension_26,category_6,inactive
27,dimension_27,category_7,inactive
28,dimension_28,category_8,inactive
29,dimension_29,category_9,active
30,dimension_30,category_0,inactive
31,dimension_31,category_1,inactive
32,dimension_32,category_2,inactive
33,dimension_33,category_3,inactive
34,dimension_34,category_4,active
35,dimension_35,category_5,inactive
36,dimension_36,category_6,inactive
37,dimension_37,category_7,active
38,dimension_38,category_8,active
39,dimension_39,category_9,active
40,dimension_40,category_0,inactive
41,dimension_41,category_1,inactive
42,dimension_42,category_2,inactive
43,dimension_43,category_3,inactive
44,dimension_44,category_4,inactive
45,dimension_45,category_5,inactive
46,dimension_46,category_6,active
47,dimension_47,category_7,active
48,dimension_48,category_8,active
49,dimension_49,category_9,inactive
50,dimension_50,category_0,inactive
51,dimension_51,category_1,active
52,dimension_52,category_2,active
53,dimension_53,category_3,active
54,dimension_54,category_4,active
55,dimension_55,category_5,active
56,dimension_56,category_6,active
57,dimension_57,category_7,active
58,dimension_58,category_8,active
59,dimension_59,category_9,active
60,dimension_60,category_0,active
61,dimension_61,category_1,active
62,dimension_62,category_2,inactive
63,dimension_63,category_3,inactive
64,dimension_64,category_4,inactive
65,dimension_65,category_5,active
66,dimension_66,category_6,inactive
67,dimension_67,category_7,active
68,dimension_68,category_8,active
69,dimension_69,category_9,active
70,dimension_70,category_0,inactive
71,dimension_71,category_1,active
72,dimension_72,category_2,inactive
73,dimension_73,category_3,active
74,dimension_74,category_4,inactive
75,dimension_75,category_5,inactive
76,dimension_76,category_6,inactive
77,dimension_77,category_7,inactive
78,dimension_78,category_8,inactive
79,dimension_79,category_9,active
80,dimension_80,category_0,inactive
81,dimension_81,category_1,active
82,dimension_82,category_2,active
83,dimension_83,category_3,inactive
84,dimension_84,category_4,inactive
85,dimension_85,category_5,active
86,dimension_86,category_6,inactive
87,dimension_87,category_7,inactive
88,dimension_88,category_8,active
89,dimension_89,category_9,inactive
90,dimension_90,category_0,inactive
91,dimension_91,category_1,inactive
92,dimension_92,category_2,active
93,dimension_93,category_3,active
94,dimension_94,category_4,inactive
95,dimension_95,category_5,inactive
96,dimension_96,category_6,active
97,dimension_97,category_7,active
98,dimension_98,category_8,inactive
99,dimension_99,category_9,active
100,dimension_100,category_0,active
101,dimension_101,category_1,inactive
102,dimension_102,category_2,inactive
103,dimension_103,category_3,active
104,dimension_104,category_4,active
105,dimension_105,category_5,active
106,dimension_106,category_6,active
107,dimension_107,category_7,active
108,dimension_108,category_8,active
109,dimension_109,category_9,active
110,dimension_110,category_0,inactive
111,dimension_111,category_1,inactive
112,dimension_112,category_2,inactive
113,dimension_113,category_3,inactive
114,dimension_114,category_4,inactive
115,dimension_115,category_5,inactive
116,dimension_116,category_6,inactive
117,dimension_117,category_7,inactive
118,dimension_118,category_8,inactive
119,dimension_119,category_9,active
120,dimension_120,category_0,inactive
121,dimension_121,category_1,active
122,dimension_122,category_2,inactive
123,dimension_123,category_3,active
124,dimension_124,category_4,active
125,dimension_125,category_5,inactive
126,dimension_126,category_6,active
127,dimension_127,category_7,inactive
128,dimension_128,category_8,inactive
129,dimension_129,category_9,active
130,dimension_130,category_0,inactive
131,dimension_131,category_1,active
132,dimension_132,category_2,active
133,dimension_133,category_3,active
134,dimension_134,category_4,active
135,dimension_135,category_5,active
136,dimension_136,category_6,inactive
137,dimension_137,category_7,inactive
138,dimension_138,category_8,active
139,dimension_139,category_9,active
140,dimension_140,category_0,active
141,dimension_141,category_1,active
142,dimension_142,category_2,inactive
143,dimension_143,category_3,active
144,dimension_144,category_4,active
145,dimension_145,category_5,inactive
146,dimension_146,category_6,inactive
147,dimension_147,category_7,inactive
148,dimension_148,category_8,active
149,dimension_149,category_9,inactive
150,dimension_150,category_0,inactive
151,dimension_151,category_1,active
152,dimension_152,category_2,active
153,dimension_153,category_3,active
154,dimension_154,category_4,active
155,dimension_155,category_5,inactive
156,dimension_156,category_6,active
157,dimension_157,category_7,inactive
158,dimension_158,category_8,inactive
159,dimension_159,category_9,inactive
160,dimension_160,category_0,inactive
161,dimension_161,category_1,active
162,dimension_162,category_2,active
163,dimension_163,category_3,inactive
164,dimension_164,category_4,inactive
165,dimension_165,category_5,active
166,dimension_166,category_6,inactive
167,dimension_167,category_7,active
168,dimension_168,category_8,active
169,dimension_169,category_9,inactive
170,dimension_170,category_0,inactive
171,dimension_171,category_1,active
172,dimension_172,category_2,inactive
173,dimension_173,category_3,active
174,dimension_174,category_4,inactive
175,dimension_175,category_5,active
176,dimension_176,category_6,active
177,dimension_177,category_7,active
178,dimension_178,category_8,active
179,dimension_179,category_9,inactive
180,dimension_180,category_0,inactive
181,dimension_181,category_1,active
182,dimension_182,category_2,inactive
183,dimension_183,category_3,inactive
184,dimension_184,category_4,active
185,dimension_185,category_5,active
186,dimension_186,category_6,active
187,dimension_187,category_7,inactive
188,dimension_188,category_8,inactive
189,dimension_189,category_9,inactive
190,dimension_190,category_0,inactive
191,dimension_191,category_1,inactive
192,dimension_192,category_2,active
193,dimension_193,category_3,inactive
194,dimension_194,category_4,active
195,dimension_195,category_5,active
196,dimension_196,category_6,inactive
197,dimension_197,category_7,active
198,dimension_198,category_8,active
199,dimension_199,category_9,inactive
200,dimension_200,category_0,active
201,dimension_201,category_1,active
202,dimension_202,category_2,active
203,dimension_203,category_3,active
204,dimension_204,category_4,inactive
205,dimension_205,category_5,active
206,dimension_206,category_6,active
207,dimension_207,category_7,active
208,dimension_208,category_8,active
209,dimension_209,category_9,inactive
210,dimension_210,category_0,inactive
211,dimension_211,category_1,inactive
212,dimension_212,category_2,inactive
213,dimension_213,category_3,active
214,dimension_214,category_4,inactive
215,dimension_215,category_5,active
216,dimension_216,category_6,active
217,dimension_217,category_7,inactive
218,dimension_218,category_8,active
219,dimension_219,category_9,inactive
220,dimension_220,category_0,active
221,dimension_221,category_1,active
222,dimension_222,category_2,inactive
223,dimension_223,category_3,active
224,dimension_224,category_4,inactive
225,dimension_225,category_5,active
226,dimension_226,category_6,inactive
227,dimension_227,category_7,inactive
228,dimension_228,category_8,active
229,dimension_229,category_9,inactive
230,dimension_230,category_0,inactive
231,dimension_231,category_1,active
232,dimension_232,category_2,active
233,dimension_233,category_3,active
234,dimension_234,category_4,active
235,dimension_235,category_5,active
236,dimension_236,category_6,inactive
237,dimension_237,category_7,inactive
238,dimension_238,category_8,inactive
239,dimension_239,category_9,active
240,dimension_240,category_0,active
241,dimension_241,category_1,inactive
242,dimension_242,category_2,inactive
243,dimension_243,category_3,inactive
244,dimension_244,category_4,inactive
245,dimension_245,category_5,active
246,dimension_246,category_6,active
247,dimension_247,category_7,active
248,dimension_248,category_8,active
249,dimension_249,category_9,active
250,dimension_250,category_0,inactive
251,dimension_251,category_1,inactive
252,dimension_252,category_2,active
253,dimension_253,category_3,active
254,dimension_254,category_4,active
255,dimension_255,category_5,active
