event_id,user_id,event_type,timestamp,page_views,session_duration,purchase_amount
EVT_000001,9174,add_to_cart,2024-02-23 00:00:00,6,1860,0
EVT_000002,8140,click,2024-02-08 00:00:00,9,1250,0
EVT_000003,4350,click,2024-03-09 00:00:00,12,2137,0
EVT_000004,272,purchase,2024-12-31 14:54:12,16,729,403.69
EVT_000005,1665,add_to_cart,2024-02-27 00:00:00,5,3428,0
EVT_000006,7694,click,2024-08-07 00:00:00,2,3384,0
EVT_000007,9601,view,2024-12-25 07:17:00,8,3225,0
EVT_000008,7298,view,2024-09-08 00:00:00,20,1406,0
EVT_000009,1815,add_to_cart,2024-11-29 09:33:14,7,3266,0
EVT_000010,8574,add_to_cart,2024-12-02 10:15:17,6,3570,0
EVT_000011,4217,view,2024-12-02 21:08:36,18,2635,0
EVT_000012,9227,purchase,2024-12-02 16:37:21,17,3428,396.39
EVT_000013,7703,purchase,2024-12-02 21:01:15,18,761,196.97
EVT_000014,5820,click,2024-03-10 00:00:00,1,515,0
EVT_000015,6559,add_to_cart,2024-07-06 00:00:00,9,1449,0
EVT_000016,5680,add_to_cart,2024-02-09 00:00:00,11,68,0
EVT_000017,4454,view,2024-12-31 07:57:09,6,3239,0
EVT_000018,5684,view,2024-12-25 19:49:55,17,1837,0
EVT_000019,267,add_to_cart,2024-11-29 17:29:28,13,3267,0
EVT_000020,9752,add_to_cart,2024-11-29 11:56:39,20,3379,0
EVT_000021,2004,click,2024-12-25 20:58:39,12,2739,0
EVT_000022,8933,purchase,2024-11-29 05:34:59,12,123,84.51
EVT_000023,5637,view,2024-09-18 00:00:00,11,2772,0
EVT_000024,6287,view,2024-12-31 07:03:17,10,966,0
EVT_000025,4220,click,2024-12-25 20:48:51,13,1858,0
EVT_000026,8054,view,2024-11-29 14:29:04,16,1273,0
EVT_000027,3035,click,2024-05-11 00:00:00,1,2141,0
EVT_000028,125,add_to_cart,2024-12-02 16:46:54,12,162,0
EVT_000029,8386,add_to_cart,2024-06-16 00:00:00,16,392,0
EVT_000030,4776,view,2024-06-15 00:00:00,18,2582,0
EVT_000031,1022,add_to_cart,2024-12-31 06:04:04,12,3120,0
EVT_000032,2805,add_to_cart,2024-04-21 00:00:00,8,3563,0
EVT_000033,5156,purchase,2024-12-02 04:20:43,20,3134,55.82
EVT_000034,8983,view,2024-12-02 06:24:18,2,1971,0
EVT_000035,1842,click,2024-04-09 00:00:00,13,1183,0
EVT_000036,4280,add_to_cart,2024-12-31 19:26:09,4,2223,0
EVT_000037,2616,add_to_cart,2024-08-19 00:00:00,13,2544,0
EVT_000038,3428,add_to_cart,2024-12-25 09:15:49,5,2181,0
EVT_000039,5508,add_to_cart,2024-12-26 00:00:00,10,705,0
EVT_000040,6856,purchase,2024-12-02 11:02:43,13,1439,140.45
EVT_000041,8524,view,2024-11-13 00:00:00,20,2340,0
EVT_000042,6287,add_to_cart,2024-06-02 00:00:00,14,665,0
EVT_000043,1394,click,2024-01-10 00:00:00,12,2032,0
EVT_000044,8608,add_to_cart,2024-12-25 11:37:25,8,233,0
EVT_000045,6276,purchase,2024-12-02 09:38:13,15,507,415.06
EVT_000046,8986,view,2024-03-02 00:00:00,14,1382,0
EVT_000047,3014,purchase,2024-12-02 13:38:59,9,2863,441.89
EVT_000048,359,purchase,2024-11-29 14:36:04,5,2755,397.54
EVT_000049,9265,click,2024-07-24 00:00:00,20,1994,0
EVT_000050,9118,purchase,2024-11-09 00:00:00,7,3394,465.1
EVT_000051,7491,purchase,2024-03-03 00:00:00,9,1179,315.89
EVT_000052,6337,add_to_cart,2024-11-29 11:58:17,9,1019,0
EVT_000053,4464,purchase,2024-12-31 18:47:10,9,682,162.78
EVT_000054,8407,view,2024-12-31 11:24:56,15,266,0
EVT_000055,2066,view,2024-08-12 00:00:00,19,557,0
EVT_000056,3709,purchase,2024-11-25 00:00:00,8,3501,92.19
EVT_000057,1237,click,2024-03-01 00:00:00,15,2928,0
EVT_000058,7116,click,2024-11-29 09:47:46,17,1983,0
EVT_000059,8597,add_to_cart,2024-01-16 00:00:00,20,785,0
EVT_000060,9892,click,2024-12-31 17:25:43,19,3120,0
EVT_000061,9659,add_to_cart,2024-12-31 03:04:33,19,2495,0
EVT_000062,96,add_to_cart,2024-12-31 01:40:54,15,557,0
EVT_000063,6208,click,2024-12-25 01:56:34,2,2451,0
EVT_000064,7266,click,2024-02-10 00:00:00,1,2368,0
EVT_000065,1382,add_to_cart,2024-10-19 00:00:00,15,2314,0
EVT_000066,5527,click,2024-11-29 22:25:00,11,3219,0
EVT_000067,9051,purchase,2024-05-27 00:00:00,4,3581,476.53
EVT_000068,1545,purchase,2024-12-02 14:52:59,10,1105,171.31
EVT_000069,9752,purchase,2024-12-25 18:28:11,19,387,404.01
EVT_000070,4415,click,2024-12-02 09:57:39,8,3392,0
EVT_000071,7096,click,2024-09-27 00:00:00,8,1687,0
EVT_000072,916,add_to_cart,2024-12-31 14:45:16,18,2791,0
EVT_000073,8430,purchase,2024-01-12 00:00:00,9,2862,324.41
EVT_000074,1952,view,2024-04-21 00:00:00,9,3465,0
EVT_000075,5578,add_to_cart,2024-11-29 02:18:54,2,1093,0
EVT_000076,403,purchase,2024-12-31 10:01:48,12,2467,315.93
EVT_000077,4935,click,2024-12-26 00:00:00,16,2618,0
EVT_000078,5439,add_to_cart,2024-12-02 00:02:05,5,2085,0
EVT_000079,5623,add_to_cart,2024-12-02 07:56:08,3,787,0
EVT_000080,2372,click,2024-12-25 23:46:58,18,632,0
EVT_000081,7694,purchase,2024-12-25 18:19:00,7,2426,275.67
EVT_000082,6185,purchase,2024-07-19 00:00:00,12,1446,258.26
EVT_000083,2581,add_to_cart,2024-11-07 00:00:00,6,1306,0
EVT_000084,630,add_to_cart,2024-12-31 21:07:53,13,2746,0
EVT_000085,7226,click,2024-11-24 00:00:00,5,1379,0
EVT_000086,1292,purchase,2024-03-22 00:00:00,3,906,47.71
EVT_000087,1555,purchase,2024-11-11 00:00:00,10,652,59.8
EVT_000088,2935,add_to_cart,2024-12-31 07:39:54,17,175,0
EVT_000089,7556,click,2024-04-13 00:00:00,1,3574,0
EVT_000090,8584,view,2024-10-24 00:00:00,8,3053,0
EVT_000091,730,click,2024-12-02 00:43:05,1,2953,0
EVT_000092,6922,view,2024-02-11 00:00:00,20,1833,0
EVT_000093,1538,click,2024-12-25 00:39:58,20,2578,0
EVT_000094,5565,purchase,2024-12-25 10:45:56,10,549,237.77
EVT_000095,3558,purchase,2024-12-02 09:19:43,2,2026,430.72
EVT_000096,9683,add_to_cart,2024-12-25 11:24:39,13,959,0
EVT_000097,4252,purchase,2024-12-02 06:55:27,5,1482,144.42
EVT_000098,2818,view,2024-12-02 11:42:51,14,2914,0
EVT_000099,3965,click,2024-12-31 14:49:57,4,1920,0
EVT_000100,7543,view,2024-07-13 00:00:00,18,1148,0
EVT_000101,3708,view,2024-12-02 17:44:39,7,3264,0
EVT_000102,3970,click,2024-12-31 14:23:02,8,625,0
EVT_000103,1102,click,2024-12-31 23:14:29,2,1790,0
EVT_000104,7628,add_to_cart,2024-12-31 22:45:10,17,3365,0
EVT_000105,3361,purchase,2024-11-29 22:50:40,4,1569,266.19
EVT_000106,1276,add_to_cart,2024-12-25 11:28:30,15,3440,0
EVT_000107,9737,click,2024-11-29 08:15:13,20,3043,0
EVT_000108,1627,click,2024-12-31 17:20:30,5,359,0
EVT_000109,2806,click,2024-06-25 00:00:00,16,2564,0
EVT_000110,2616,click,2024-07-26 00:00:00,3,2047,0
EVT_000111,1603,view,2024-11-20 00:00:00,13,1392,0
EVT_000112,7077,view,2024-02-15 00:00:00,4,517,0
EVT_000113,6247,add_to_cart,2024-12-31 02:26:07,10,1361,0
EVT_000114,4103,purchase,2024-12-31 00:28:26,15,375,498.78
EVT_000115,8696,purchase,2024-12-31 01:04:46,15,888,205.25
EVT_000116,6638,view,2024-04-05 00:00:00,1,3029,0
EVT_000117,7794,view,2024-12-02 12:21:10,10,2704,0
EVT_000118,6965,view,2024-05-20 00:00:00,6,35,0
EVT_000119,1613,add_to_cart,2024-02-24 00:00:00,11,1777,0
EVT_000120,3858,add_to_cart,2024-12-31 02:08:28,19,715,0
EVT_000121,8511,add_to_cart,2024-07-17 00:00:00,11,1429,0
EVT_000122,4402,add_to_cart,2024-12-23 00:00:00,15,2058,0
EVT_000123,100,click,2024-08-06 00:00:00,15,2689,0
EVT_000124,7806,purchase,2024-12-02 03:56:15,10,375,235.91
EVT_000125,629,purchase,2024-07-04 00:00:00,9,2756,390.62
EVT_000126,1250,purchase,2024-12-25 03:58:48,7,416,149.3
EVT_000127,8585,add_to_cart,2024-12-31 23:07:11,15,113,0
EVT_000128,3263,add_to_cart,2024-10-24 00:00:00,18,1558,0
EVT_000129,1036,purchase,2024-03-26 00:00:00,12,2938,228.11
EVT_000130,1943,view,2024-08-27 00:00:00,1,434,0
EVT_000131,5390,click,2024-10-26 00:00:00,19,489,0
EVT_000132,3412,view,2024-12-31 16:51:44,16,891,0
EVT_000133,7606,view,2024-09-13 00:00:00,15,1711,0
EVT_000134,2228,add_to_cart,2024-12-01 00:00:00,14,2108,0
EVT_000135,6282,click,2024-12-02 18:54:25,10,153,0
EVT_000136,8348,click,2024-11-29 17:29:43,12,1646,0
EVT_000137,7579,add_to_cart,2024-12-02 21:34:45,13,284,0
EVT_000138,5339,purchase,2024-03-08 00:00:00,12,2795,402.01
EVT_000139,7867,add_to_cart,2024-06-20 00:00:00,5,667,0
EVT_000140,8285,purchase,2024-12-31 19:18:13,20,3416,380.42
EVT_000141,9387,view,2024-12-26 00:00:00,4,3600,0
EVT_000142,1018,view,2024-12-25 17:28:16,11,2234,0
EVT_000143,9686,view,2024-11-29 12:25:06,20,2095,0
EVT_000144,8868,add_to_cart,2024-03-25 00:00:00,10,2185,0
EVT_000145,2683,add_to_cart,2024-12-25 18:34:45,17,218,0
EVT_000146,385,purchase,2024-11-14 00:00:00,16,2495,468.22
EVT_000147,1590,purchase,2024-09-28 00:00:00,16,666,338.67
EVT_000148,2215,add_to_cart,2024-12-31 23:38:03,9,3546,0
EVT_000149,7245,view,2024-12-31 10:12:06,13,2748,0
EVT_000150,557,click,2024-12-02 00:00:00,7,1608,0
EVT_000151,633,add_to_cart,2024-12-31 08:07:17,7,1592,0
EVT_000152,3879,view,2024-12-02 12:09:21,1,1639,0
EVT_000153,4549,view,2024-12-02 21:03:39,11,185,0
EVT_000154,1055,view,2024-11-01 00:00:00,14,55,0
EVT_000155,6634,add_to_cart,2024-06-18 00:00:00,3,2122,0
EVT_000156,8055,add_to_cart,2024-04-23 00:00:00,8,1043,0
EVT_000157,6869,view,2024-11-29 15:53:24,20,3578,0
EVT_000158,9128,view,2024-09-28 00:00:00,2,701,0
EVT_000159,3634,purchase,2024-10-17 00:00:00,5,213,424.55
EVT_000160,8905,purchase,2024-12-31 11:58:57,18,2027,29.97
EVT_000161,4342,click,2024-03-16 00:00:00,18,1095,0
EVT_000162,4655,add_to_cart,2024-02-05 00:00:00,2,2876,0
EVT_000163,1341,click,2024-11-29 04:19:32,14,1000,0
EVT_000164,4302,purchase,2024-12-25 12:02:56,3,1583,9.64
EVT_000165,8653,click,2024-03-14 00:00:00,14,3262,0
EVT_000166,7974,purchase,2024-12-25 02:09:52,15,2869,388.71
EVT_000167,9431,add_to_cart,2024-12-25 18:24:08,15,3190,0
EVT_000168,3733,add_to_cart,2024-12-25 14:23:47,13,476,0
EVT_000169,3988,click,2024-12-02 16:19:05,19,174,0
EVT_000170,509,add_to_cart,2024-12-02 00:47:44,11,3348,0
EVT_000171,3351,click,2024-11-29 00:18:48,20,1352,0
EVT_000172,5601,click,2024-08-23 00:00:00,19,1838,0
EVT_000173,352,click,2024-02-12 00:00:00,2,811,0
EVT_000174,2096,view,2024-08-07 00:00:00,8,2122,0
EVT_000175,8255,click,2024-08-29 00:00:00,18,2097,0
EVT_000176,723,add_to_cart,2024-01-30 00:00:00,8,2570,0
EVT_000177,8827,click,2024-12-31 11:07:00,9,968,0
EVT_000178,8840,add_to_cart,2024-02-11 00:00:00,6,719,0
EVT_000179,6462,click,2024-12-25 19:03:03,4,1481,0
EVT_000180,5204,click,2024-12-25 13:58:02,2,400,0
EVT_000181,5008,click,2024-07-26 00:00:00,16,2938,0
EVT_000182,537,purchase,2024-11-08 00:00:00,1,202,157.32
EVT_000183,2025,view,2024-12-02 12:08:29,11,1036,0
EVT_000184,6199,purchase,2024-11-29 17:47:06,13,3423,453.44
EVT_000185,3622,purchase,2024-11-14 00:00:00,4,2801,443.88
EVT_000186,4307,add_to_cart,2024-12-27 00:00:00,11,1220,0
EVT_000187,870,purchase,2024-12-02 04:24:03,18,1399,114.76
EVT_000188,692,purchase,2024-12-02 22:05:56,11,1250,403.2
EVT_000189,7661,purchase,2024-11-29 10:06:41,2,2493,285.31
EVT_000190,7947,view,2024-11-29 16:37:44,6,1868,0
EVT_000191,7190,purchase,2024-12-25 11:12:50,19,2747,171.21
